学号：170131  同学：31  语文84   数学86  英语97  总成绩：267
学号：170102  同学：02  语文89   数学93  英语84  总成绩：266
学号：170110  同学：10  语文95   数学74  英语96  总成绩：265
学号：170128  同学：28  语文73   数学94  英语94  总成绩：261
学号：170105  同学：05  语文81   数学98  英语81  总成绩：260
学号：170106  同学：06  语文71   数学87  英语96  总成绩：254
学号：170114  同学：14  语文96   数学55  英语100  总成绩：251
学号：170136  同学：36  语文86   数学87  英语77  总成绩：250
学号：170111  同学：11  语文64   数学92  英语90  总成绩：246
学号：170124  同学：24  语文98   数学52  英语95  总成绩：245
学号：170139  同学：39  语文87   数学63  英语94  总成绩：244
学号：170108  同学：08  语文74   数学76  英语93  总成绩：243
学号：170113  同学：13  语文51   数学95  英语96  总成绩：242
学号：170138  同学：38  语文80   数学91  英语69  总成绩：240
学号：170101  同学：01  语文100   数学61  英语77  总成绩：238
学号：170127  同学：27  语文95   数学69  英语71  总成绩：235
学号：170134  同学：34  语文88   数学72  英语74  总成绩：234
学号：170122  同学：22  语文64   数学90  英语70  总成绩：224
学号：170123  同学：23  语文58   数学94  英语71  总成绩：223
学号：170117  同学：17  语文79   数学75  英语67  总成绩：221
学号：170135  同学：35  语文94   数学72  英语53  总成绩：219
学号：170121  同学：21  语文79   数学84  英语55  总成绩：218
学号：170109  同学：09  语文69   数学65  英语82  总成绩：216
学号：170115  同学：15  语文50   数学85  英语81  总成绩：216
学号：170120  同学：20  语文82   数学68  英语63  总成绩：213
学号：170103  同学：03  语文91   数学51  英语70  总成绩：212
学号：170107  同学：07  语文83   数学57  英语70  总成绩：210
学号：170119  同学：19  语文67   数学91  英语51  总成绩：209
学号：170132  同学：32  语文63   数学68  英语78  总成绩：209
学号：170126  同学：26  语文85   数学58  英语65  总成绩：208
学号：170116  同学：16  语文59   数学87  英语60  总成绩：206
学号：170118  同学：18  语文55   数学65  英语86  总成绩：206
学号：170137  同学：37  语文50   数学63  英语87  总成绩：200
学号：170125  同学：25  语文76   数学50  英语73  总成绩：199
学号：170130  同学：30  语文68   数学56  英语70  总成绩：194
学号：170104  同学：04  语文62   数学68  英语63  总成绩：193
学号：170133  同学：33  语文50   数学59  英语76  总成绩：185
学号：170129  同学：29  语文55   数学71  英语58  总成绩：184
学号：170112  同学：12  语文61   数学56  英语63  总成绩：180
学号：170140  同学：40  语文55   数学55  英语66  总成绩：176
